KOATUU;Relevant Community;question_id;question;response;Clarification;Number Responded
1420955500;Myronivskyi;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Not in last three months but has happened;Clarified;
1420955500;Myronivskyi;comm_q73;What is the primary source of drinking water in the community?;Most of respondents 'piped drinking water' and some of them 'well';Clarified;
1420955500;Myronivskyi;comm_q74;Do most households treat the water before drinking?;Yes;Clarified;
1420985001;Kodema;comm_q1;Does the community have a police station?;No;Clarified;
1420985001;Kodema;comm_q12;Have there been any electricity shortages in the last 3 months?;Equally 'No' and 'Yes, infrequently';Clarified;
1420985001;Kodema;comm_q13;Have there been any gas shortages in the last 3 months?;Most of respondents 'No' and some of them 'The community does not use gas';Clarified;
1420985001;Kodema;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1420985001;Kodema;comm_q71;Are psycho-social support services available in the community?;Yes, sufficient;Clarified;
1420985001;Kodema;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Infrequently;Clarified;
1420985005;Odradivka;comm_q1;Does the community have a police station?;No;Not needed;4
1420985005;Odradivka;comm_q12;Have there been any electricity shortages in the last 3 months?;Yes, infrequently;Not needed;4
1420985005;Odradivka;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;4
1420985005;Odradivka;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;4
1420985005;Odradivka;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;4
1420985005;Odradivka;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1420985005;Odradivka;comm_q3;Does the community have a local court?;No;Not needed;4
1420985005;Odradivka;comm_q66;Are there any landmines/other ERW in community?;Landmines\ERW are not present;Not needed;3
1420985005;Odradivka;comm_q69;Are there any child friendly space in the community?;No;Not needed;4
1420985005;Odradivka;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Not in last three months but has happened;Not needed;4
1420985005;Odradivka;comm_q73;What is the primary source of drinking water in the community?;well;Not needed;4
1420985005;Odradivka;comm_q74;Do most households treat the water before drinking?;Yes;Clarified;
1420986201;Novoluhanske (GCA);comm_q1;Does the community have a police station?;Yes, functioning;Not needed;3
1420986201;Novoluhanske (GCA);comm_q12;Have there been any electricity shortages in the last 3 months?;Yes, infrequently;Not needed;3
1420986201;Novoluhanske (GCA);comm_q13;Have there been any gas shortages in the last 3 months?;No;Not needed;3
1420986201;Novoluhanske (GCA);comm_q14;Have there been any water shortages in the past three months?;Equally distributed (look at the options);Clarified;
1420986201;Novoluhanske (GCA);comm_q15;Have there been any heating shortages during the last winter?;No;Not needed;3
1420986201;Novoluhanske (GCA);comm_q17;Are construction materials available in the community markets or in nearby markets?;Fully available;Not needed;3
1420986201;Novoluhanske (GCA);comm_q3;Does the community have a local court?;No;Not needed;3
1420986201;Novoluhanske (GCA);comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;2
1420986201;Novoluhanske (GCA);comm_q69;Are there any child friendly space in the community?;Yes, insufficient;Clarified;
1420986201;Novoluhanske (GCA);comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
1420986201;Novoluhanske (GCA);comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Not needed;3
1420986201;Novoluhanske (GCA);comm_q73;What is the primary source of drinking water in the community?;piped drinking water;Not needed;3
1420986201;Novoluhanske (GCA);comm_q74;Do most households treat the water before drinking?;Yes;Clarified;
1420986203;Semyhiria;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
1420986203;Semyhiria;comm_q66;Are there any landmines/other ERW in community?;Landmines\ERW are present;Clarified;
1420986203;Semyhiria;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Clarified;
1420986203;Semyhiria;comm_q74;Do most households treat the water before drinking?;No;Clarified;
1421556800;Novotroitske;comm_q1;Does the community have a police station?;Yes, functioning;Not needed;4
1421556800;Novotroitske;comm_q12;Have there been any electricity shortages in the last 3 months?;Equally 'No' and 'Yes, infrequently';Clarified;
1421556800;Novotroitske;comm_q13;Have there been any gas shortages in the last 3 months?;No;Not needed;3
1421556800;Novotroitske;comm_q14;Have there been any water shortages in the past three months?;No;Not needed;4
1421556800;Novotroitske;comm_q15;Have there been any heating shortages during the last winter?;No;Not needed;3
1421556800;Novotroitske;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1421556800;Novotroitske;comm_q3;Does the community have a local court?;No;Not needed;4
1421556800;Novotroitske;comm_q66;Are there any landmines/other ERW in community?;Landmines\ERW are present;Clarified;
1421556800;Novotroitske;comm_q69;Are there any child friendly space in the community?;Yes, insufficient;Not needed;4
1421556800;Novotroitske;comm_q71;Are psycho-social support services available in the community?;Yes, insufficient;Not needed;1
1421556800;Novotroitske;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Didn't answer the question and said that this is a provocation;Clarified;
1421556800;Novotroitske;comm_q73;What is the primary source of drinking water in the community?;Most of respondents 'piped drinking water' and some of them 'well';Clarified;
1421556800;Novotroitske;comm_q74;Do most households treat the water before drinking?;Yes;Clarified;
1421583701;Lebedynske;comm_q1;Does the community have a police station?;No;Not needed;4
1421583701;Lebedynske;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'Yes, weekly' and some of them 'Yes, infrequently';Clarified;
1421583701;Lebedynske;comm_q13;Have there been any gas shortages in the last 3 months?;Most of respondents 'No' and some of them 'The community does not use gas';Clarified;
1421583701;Lebedynske;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'Yes, daily' and some of them 'Yes, infrequently';Clarified;
1421583701;Lebedynske;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;4
1421583701;Lebedynske;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Not needed;4
1421583701;Lebedynske;comm_q3;Does the community have a local court?;No;Not needed;4
1421583701;Lebedynske;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;4
1421583701;Lebedynske;comm_q69;Are there any child friendly space in the community?;Yes, sufficient;Not needed;4
1421583701;Lebedynske;comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
1421583701;Lebedynske;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Not needed;4
1421583701;Lebedynske;comm_q73;What is the primary source of drinking water in the community?;Most of respondents 'water trucking' and some of them 'bottled' and 'well';Clarified;
1421583701;Lebedynske;comm_q74;Do most households treat the water before drinking?;No;Not needed;3
1421584001;Mykolaivka;comm_q1;Does the community have a police station?;No;Not needed;3
1421584001;Mykolaivka;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
1421584001;Mykolaivka;comm_q13;Have there been any gas shortages in the last 3 months?;No;Not needed;4
1421584001;Mykolaivka;comm_q14;Have there been any water shortages in the past three months?;Equally distributed (look at the options);Clarified;
1421584001;Mykolaivka;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;4
1421584001;Mykolaivka;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Not needed;4
1421584001;Mykolaivka;comm_q3;Does the community have a local court?;No;Not needed;4
1421584001;Mykolaivka;comm_q66;Are there any landmines/other ERW in community?;Landmines\ERW are present;Clarified;
1421584001;Mykolaivka;comm_q69;Are there any child friendly space in the community?;Very insufficient;Clarified;
1421584001;Mykolaivka;comm_q71;Are psycho-social support services available in the community?;Yes, insufficient;Clarified;
1421584001;Mykolaivka;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Infrequenly;Clarified;
1421584001;Mykolaivka;comm_q73;What is the primary source of drinking water in the community?;Most of respondents 'well' and some of them 'piped drinking water';Clarified;
1421584001;Mykolaivka;comm_q74;Do most households treat the water before drinking?;No;Clarified;
1421584002;Bohdanivka;comm_q1;Does the community have a police station?;No;Not needed;4
1421584002;Bohdanivka;comm_q12;Have there been any electricity shortages in the last 3 months?;Yes, daily;Not needed;4
1421584002;Bohdanivka;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;4
1421584002;Bohdanivka;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;4
1421584002;Bohdanivka;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;4
1421584002;Bohdanivka;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1421584002;Bohdanivka;comm_q3;Does the community have a local court?;No;Not needed;4
1421584002;Bohdanivka;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;4
1421584002;Bohdanivka;comm_q69;Are there any child friendly space in the community?;No;Not needed;4
1421584002;Bohdanivka;comm_q71;Are psycho-social support services available in the community?;No, required;Not needed;3
1421584002;Bohdanivka;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;"Infrequenly (people say ""weekly"" because they frequently hear shelling of neighbouring settlements)";Clarified;
1421584002;Bohdanivka;comm_q73;What is the primary source of drinking water in the community?;Most of respondents 'well' and some of them 'water trucking';Clarified;
1421584002;Bohdanivka;comm_q74;Do most households treat the water before drinking?;No;Not needed;4
1421584004;Novohnativka;comm_q1;Does the community have a police station?;No;Clarified;
1421584004;Novohnativka;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
1421584004;Novohnativka;comm_q13;Have there been any gas shortages in the last 3 months?;Most of respondents 'No' and some of them 'The community does not use gas';Clarified;
1421584004;Novohnativka;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'Yes, infrequently' and some of them 'The community has no water supply';Clarified;
1421584004;Novohnativka;comm_q15;Have there been any heating shortages during the last winter?;Most of respondents 'No centralized heating in the community' and some of them 'Yes, infrequently';Clarified;
1421584004;Novohnativka;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1421584004;Novohnativka;comm_q3;Does the community have a local court?;No;Not needed;4
1421584004;Novohnativka;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;4
1421584004;Novohnativka;comm_q69;Are there any child friendly space in the community?;Yes, sufficient;Clarified;
1421584004;Novohnativka;comm_q71;Are psycho-social support services available in the community?;Yes, insufficient;Clarified;
1421584004;Novohnativka;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Not in last three months but has happened;Clarified;
1421584004;Novohnativka;comm_q73;What is the primary source of drinking water in the community?;well;Not needed;4
1421584004;Novohnativka;comm_q74;Do most households treat the water before drinking?;No;Not needed;4
1421585801;Pavlopil;comm_q1;Does the community have a police station?;No (the nearest one is in Volnovakha);Clarified;
1421585801;Pavlopil;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'Yes, infrequently' and some of them 'Yes, weekly';Clarified;
1421585801;Pavlopil;comm_q13;Have there been any gas shortages in the last 3 months?;Most of respondents 'Yes, infrequently' and some of them 'The community does not use gas';Clarified;
1421585801;Pavlopil;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'The community has no water supply' and some of them 'Yes, daily';Clarified;
1421585801;Pavlopil;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;4
1421585801;Pavlopil;comm_q17;Are construction materials available in the community markets or in nearby markets?;Not available;Not needed;4
1421585801;Pavlopil;comm_q3;Does the community have a local court?;No;Not needed;4
1421585801;Pavlopil;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;4
1421585801;Pavlopil;comm_q69;Are there any child friendly space in the community?;No;Not needed;4
1421585801;Pavlopil;comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
1421585801;Pavlopil;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Weekly;Clarified;
1421585801;Pavlopil;comm_q73;What is the primary source of drinking water in the community?;water trucking;Not needed;4
1421585801;Pavlopil;comm_q74;Do most households treat the water before drinking?;No;Clarified;
1421585802;Pyshchevyk;comm_q1;Does the community have a police station?;No;Not needed;4
1421585802;Pyshchevyk;comm_q12;Have there been any electricity shortages in the last 3 months?;Equally 'No' and 'Yes, infrequently';Clarified;
1421585802;Pyshchevyk;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;4
1421585802;Pyshchevyk;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;4
1421585802;Pyshchevyk;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;4
1421585802;Pyshchevyk;comm_q17;Are construction materials available in the community markets or in nearby markets?;Unavailable (people can't bring them through a checkpoint);Clarified;
1421585802;Pyshchevyk;comm_q3;Does the community have a local court?;No;Not needed;4
1421585802;Pyshchevyk;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;4
1421585802;Pyshchevyk;comm_q69;Are there any child friendly space in the community?;No;Not needed;4
1421585802;Pyshchevyk;comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
1421585802;Pyshchevyk;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Weekly;Clarified;
1421585802;Pyshchevyk;comm_q73;What is the primary source of drinking water in the community?;water trucking;Not needed;4
1421585802;Pyshchevyk;comm_q74;Do most households treat the water before drinking?;Yes;Not needed;4
1421585803;Chernenko;comm_q1;Does the community have a police station?;No;Not needed;5
1421585803;Chernenko;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'Yes, infrequently' and some of them 'No';Clarified;
1421585803;Chernenko;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;5
1421585803;Chernenko;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;5
1421585803;Chernenko;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;5
1421585803;Chernenko;comm_q17;Are construction materials available in the community markets or in nearby markets?;Very limited availability;Clarified;
1421585803;Chernenko;comm_q3;Does the community have a local court?;No;Not needed;5
1421585803;Chernenko;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;5
1421585803;Chernenko;comm_q69;Are there any child friendly space in the community?;No;Not needed;5
1421585803;Chernenko;comm_q71;Are psycho-social support services available in the community?;No, required;Not needed;5
1421585803;Chernenko;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Not needed;5
1421585803;Chernenko;comm_q73;What is the primary source of drinking water in the community?;Most of respondents 'bottled' and some of them 'water trucking';Clarified;
1421585803;Chernenko;comm_q74;Do most households treat the water before drinking?;Yes;Not needed;1
1421587701;Starohnativka;comm_q1;Does the community have a police station?;No (the nearest one is in Volnovakha);Clarified;
1421587701;Starohnativka;comm_q12;Have there been any electricity shortages in the last 3 months?;Equally distributed (look at the options);Clarified;
1421587701;Starohnativka;comm_q13;Have there been any gas shortages in the last 3 months?;Most of respondents 'The community does not use gas' and some of them 'No';Clarified;
1421587701;Starohnativka;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;7
1421587701;Starohnativka;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;7
1421587701;Starohnativka;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1421587701;Starohnativka;comm_q3;Does the community have a local court?;No;Not needed;7
1421587701;Starohnativka;comm_q66;Are there any landmines/other ERW in community?;Landmines\ERW are present;Clarified;
1421587701;Starohnativka;comm_q69;Are there any child friendly space in the community?;Insufficient;Clarified;
1421587701;Starohnativka;comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
1421587701;Starohnativka;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Not in last three months but has happened;Clarified;
1421587701;Starohnativka;comm_q73;What is the primary source of drinking water in the community?;well;Not needed;7
1421587701;Starohnativka;comm_q74;Do most households treat the water before drinking?;No;Not needed;7
1421587702;Novohryhorivka;comm_q1;Does the community have a police station?;No;Not needed;2
1421587702;Novohryhorivka;comm_q12;Have there been any electricity shortages in the last 3 months?;Yes, infrequently;Not needed;2
1421587702;Novohryhorivka;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;2
1421587702;Novohryhorivka;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;2
1421587702;Novohryhorivka;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;2
1421587702;Novohryhorivka;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1421587702;Novohryhorivka;comm_q3;Does the community have a local court?;No;Not needed;2
1421587702;Novohryhorivka;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;2
1421587702;Novohryhorivka;comm_q69;Are there any child friendly space in the community?;No;Not needed;2
1421587702;Novohryhorivka;comm_q71;Are psycho-social support services available in the community?;Yes, insufficient;Not needed;2
1421587702;Novohryhorivka;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Weekly;Not needed;2
1421587702;Novohryhorivka;comm_q73;What is the primary source of drinking water in the community?;well;Not needed;2
1421587702;Novohryhorivka;comm_q74;Do most households treat the water before drinking?;No;Not needed;2
1421588201;Chermalyk;comm_q1;Does the community have a police station?;No;Not needed;4
1421588201;Chermalyk;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'Yes, infrequently' and some of them 'Yes, weekly';Clarified;
1421588201;Chermalyk;comm_q13;Have there been any gas shortages in the last 3 months?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
1421588201;Chermalyk;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'Yes, daily' and some of them 'No';Clarified;
1421588201;Chermalyk;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;5
1421588201;Chermalyk;comm_q17;Are construction materials available in the community markets or in nearby markets?;Very limited availability;Clarified;
1421588201;Chermalyk;comm_q3;Does the community have a local court?;No;Not needed;5
1421588201;Chermalyk;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;5
1421588201;Chermalyk;comm_q69;Are there any child friendly space in the community?;Yes, insufficient;Not needed;5
1421588201;Chermalyk;comm_q71;Are psycho-social support services available in the community?;Yes, insufficient;Clarified;
1421588201;Chermalyk;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Not needed;5
1421588201;Chermalyk;comm_q73;What is the primary source of drinking water in the community?;Most of respondents 'water trucking' and some of them 'piped drinking water' and 'well';Clarified;
1421588201;Chermalyk;comm_q74;Do most households treat the water before drinking?;No;Clarified;
1421588202;Orlovske;comm_q1;Does the community have a police station?;No;Not needed;4
1421588202;Orlovske;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
1421588202;Orlovske;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;4
1421588202;Orlovske;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'Yes, daily' and some of them 'The community has no water supply';Clarified;
1421588202;Orlovske;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;4
1421588202;Orlovske;comm_q17;Are construction materials available in the community markets or in nearby markets?;Very limited availability;Clarified;
1421588202;Orlovske;comm_q3;Does the community have a local court?;No;Not needed;4
1421588202;Orlovske;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;4
1421588202;Orlovske;comm_q69;Are there any child friendly space in the community?;No;Not needed;4
1421588202;Orlovske;comm_q71;Are psycho-social support services available in the community?;No, required;Not needed;4
1421588202;Orlovske;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Not needed;4
1421588202;Orlovske;comm_q73;What is the primary source of drinking water in the community?;water trucking;Clarified;
1421588202;Orlovske;comm_q74;Do most households treat the water before drinking?;No;Clarified;
1421588402;Berdianske;comm_q1;Does the community have a police station?;No;Not needed;5
1421588402;Berdianske;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'Yes, infrequently' and some of them 'Yes, daily';Clarified;
1421588402;Berdianske;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;5
1421588402;Berdianske;comm_q14;Have there been any water shortages in the past three months?;Equally distributed (look at the options);Clarified;
1421588402;Berdianske;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;5
1421588402;Berdianske;comm_q17;Are construction materials available in the community markets or in nearby markets?;Available at markets in Mariupol, 15 km;Clarified;
1421588402;Berdianske;comm_q3;Does the community have a local court?;No;Not needed;5
1421588402;Berdianske;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;5
1421588402;Berdianske;comm_q69;Are there any child friendly space in the community?;No;Not needed;5
1421588402;Berdianske;comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
1421588402;Berdianske;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Weekly;Clarified;
1421588402;Berdianske;comm_q73;What is the primary source of drinking water in the community?;Most of respondents 'bottled' and some of them 'water trucking';Clarified;
1421588402;Berdianske;comm_q74;Do most households treat the water before drinking?;No;Not needed;2
1421588801;Hranitne;comm_q1;Does the community have a police station?;No;Clarified;
1421588801;Hranitne;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'Yes, infrequently' and some of them 'No';Clarified;
1421588801;Hranitne;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;6
1421588801;Hranitne;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;6
1421588801;Hranitne;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;6
1421588801;Hranitne;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1421588801;Hranitne;comm_q3;Does the community have a local court?;No;Not needed;6
1421588801;Hranitne;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;6
1421588801;Hranitne;comm_q69;Are there any child friendly space in the community?;Very insufficient;Clarified;
1421588801;Hranitne;comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
1421588801;Hranitne;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Infrequently;Clarified;
1421588801;Hranitne;comm_q73;What is the primary source of drinking water in the community?;well;Not needed;6
1421588801;Hranitne;comm_q74;Do most households treat the water before drinking?;No;Clarified;
1423310100;Marinka;comm_q1;Does the community have a police station?;Yes, functioning;Not needed;4
1423310100;Marinka;comm_q12;Have there been any electricity shortages in the last 3 months?;Equally 'No' and 'Yes, infrequently';Clarified;
1423310100;Marinka;comm_q13;Have there been any gas shortages in the last 3 months?;Equally distributed (look at the options);Clarified;
1423310100;Marinka;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'No' and some of them 'Yes, daily';Clarified;
1423310100;Marinka;comm_q15;Have there been any heating shortages during the last winter?;Equally distributed (look at the options);Clarified;
1423310100;Marinka;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Not needed;4
1423310100;Marinka;comm_q3;Does the community have a local court?;No;Clarified;
1423310100;Marinka;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;4
1423310100;Marinka;comm_q69;Are there any child friendly space in the community?;Yes, insufficient;Clarified;
1423310100;Marinka;comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
1423310100;Marinka;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Not needed;4
1423310100;Marinka;comm_q73;What is the primary source of drinking water in the community?;Most of respondents 'water trucking' and some of them 'piped drinking water';Clarified;
1423310100;Marinka;comm_q74;Do most households treat the water before drinking?;Yes;Clarified;
1423310101;Pobieda;comm_q1;Does the community have a police station?;No;Not needed;4
1423310101;Pobieda;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'Yes, infrequently' and some of them 'No';Clarified;
1423310101;Pobieda;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;4
1423310101;Pobieda;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;4
1423310101;Pobieda;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;4
1423310101;Pobieda;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1423310101;Pobieda;comm_q3;Does the community have a local court?;No;Not needed;4
1423310101;Pobieda;comm_q66;Are there any landmines/other ERW in community?;Landmines\ERW are present;Clarified;
1423310101;Pobieda;comm_q69;Are there any child friendly space in the community?;No;Not needed;4
1423310101;Pobieda;comm_q71;Are psycho-social support services available in the community?;No, required;Not needed;4
1423310101;Pobieda;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Not needed;4
1423310101;Pobieda;comm_q73;What is the primary source of drinking water in the community?;Most of respondents 'water trucking' and some of them 'piped drinking water' and 'well';Clarified;
1423310101;Pobieda;comm_q74;Do most households treat the water before drinking?;No;Clarified;
1423310400;Krasnohorivka;comm_q1;Does the community have a police station?;Yes, functioning;Not needed;5
1423310400;Krasnohorivka;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'Yes, infrequently' and some of them 'No';Clarified;
1423310400;Krasnohorivka;comm_q13;Have there been any gas shortages in the last 3 months?;Yes, daily;Not needed;5
1423310400;Krasnohorivka;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'Yes, daily' and some of them 'No';Clarified;
1423310400;Krasnohorivka;comm_q15;Have there been any heating shortages during the last winter?;Yes, daily;Not needed;5
1423310400;Krasnohorivka;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1423310400;Krasnohorivka;comm_q3;Does the community have a local court?;No;Not needed;5
1423310400;Krasnohorivka;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;5
1423310400;Krasnohorivka;comm_q69;Are there any child friendly space in the community?;Yes, insufficient;Not needed;5
1423310400;Krasnohorivka;comm_q71;Are psycho-social support services available in the community?;Yes, insufficient;Clarified;
1423310400;Krasnohorivka;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Weekly;Clarified;
1423310400;Krasnohorivka;comm_q73;What is the primary source of drinking water in the community?;Most of respondents 'water trucking' and some of them 'bottled';Clarified;
1423310400;Krasnohorivka;comm_q74;Do most households treat the water before drinking?;No;Not needed;4
1423384504;Slavne;comm_q1;Does the community have a police station?;No;Not needed;2
1423384504;Slavne;comm_q12;Have there been any electricity shortages in the last 3 months?;Equally 'Yes, daily' and 'Yes, infrequently';Clarified;
1423384504;Slavne;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;2
1423384504;Slavne;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;2
1423384504;Slavne;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;2
1423384504;Slavne;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1423384504;Slavne;comm_q3;Does the community have a local court?;No;Not needed;2
1423384504;Slavne;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;2
1423384504;Slavne;comm_q69;Are there any child friendly space in the community?;No;Not needed;2
1423384504;Slavne;comm_q71;Are psycho-social support services available in the community?;No, required;Not needed;2
1423384504;Slavne;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Not needed;2
1423384504;Slavne;comm_q73;What is the primary source of drinking water in the community?;Equally 'water trucking' and 'well';Clarified;
1423384504;Slavne;comm_q74;Do most households treat the water before drinking?;No;Clarified;
1423385002;Heorhiivka;comm_q1;Does the community have a police station?;No;Not needed;4
1423385002;Heorhiivka;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'Yes, infrequently' and some of them 'No';Clarified;
1423385002;Heorhiivka;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;4
1423385002;Heorhiivka;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;4
1423385002;Heorhiivka;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;4
