QF_Type	start	end	date_assessment	gender_KI	comm_q1	comm_q2	comm_q3	comm_q4	comm_q5	comm_q6	comm_q6_other	comm_q7	comm_q8	comm_q9	comm_q9_other	comm_q10	comm_q11	comm_q12	comm_q13	comm_q14	comm_q15	comm_q16	comm_q16_other	comm_q17	comm_q18	comm_q19	comm_q20	comm_q21	comm_q22	comm_q23	comm_q24	comm_q25	comm_q26	comm_q27	comm_q28	comm_q29	comm_q30	comm_q31	comm_q32	comm_q33	comm_q34	comm_q35	comm_q36	comm_q37	comm_q38	comm_q39	comm_q40	comm_q41	comm_q42	comm_q43	comm_q44	comm_q45	food_market_active	nfi_market_active	mixed_market_active	active_markets	food_market_limited	nfi_market_limited	mixed_market_limited	limited_markets	food_market_closed	nfi_market_closed	mixed_market_closed	closed_markets	comm_q49	comm_q50	comm_q50_other	comm_q51	comm_q51_other	comm_q52	comm_q53	comm_q53_other	comm_q54	comm_q54_other	comm_q55	comm_q56	comm_q57	comm_q58	comm_q58_other	comm_q59	comm_q60	comm_q61	comm_q61_other	comm_q62	comm_q62_other	comm_q63	comm_q63_other	comm_q64	comm_q65	comm_q65_other	comm_q66	comm_q66_other	comm_q67	comm_q68	comm_q69	comm_q70	comm_q70_other	comm_q71	comm_q72	comm_q73	comm_q73_other	comm_q74	comm_q74_other	comm_q75	comm_q75_other	comm_q76	comm_q76_other	current_oblast	current_raion	current_village	gps_work	_gpslocation_latitude	_gpslocation_longitude	location_manual	_id
Community	2017-05-17T12:20:35.430+03	2017-05-17T12:43:55.545+03	2017-05-17	female	Yes, functioning		No	Бахмут	Yes	No challenges		3	Бахмут	"High cost of transportation to health facility; Health care services are too expensive;"		all equally	0-250	no	no	no	no	No problems		Fully available	999.0	12.5	32.0	18.0	4.0	130.0	54.0	50.0	70.0	90.0	999.0	10.5	12.0	20.0	9.0	6.0	5.0	4.5	6.0	8.0	18.0	22.0	30.0	10.0	999.0	12.0	999.0	21.0	0	0	1	1	0	0	1	1	0	0	0	0	Бахмут	Walking		No challenges			local (in this rayon) from other regions of Ukraine		Stable employment (salaried) Unstable employment (daily) Allowances (Social security\welfare) Cash from humanitarian organisations		Fully available	Fully available	Fully available	Cost		Не выращивают	Не выращивают	No problems		Cost of travelling to FSP Lack of FSPs (incl. ATMs) FSPs do not offer necessary services		Community tension Presence of armed groups		No			"Landmines\ERW are present;"		Yes, sufficient	None of the known areas	Yes, insufficient	All available		Yes, insufficient	Daily	piped drinking water		No		Public (paid) waste collection		no problems		Donetska	Bakhmutskyi	Svitlodarsk	Yes	48.43619837413355	38.22500762857862		3698055
Community	2017-05-17T11:38:30.175+03	2017-05-17T12:14:25.598+03	2017-05-17	female	Yes, functioning		No	Бахмут	No	No challenges		4	Хватает	other (specify)	Со сложными заболеваниями обращаются в Бахмут	elderly male elderly female	0-250	no	no	no	no	No problems Fuel too expensive		Limited availability	35.0	15.0	35.0	17.0	6.0	120.0	70.0	85.0	75.0	90.0	25.0	13.0	11.0	18.0	7.0	4.0	5.0	5.0	8.0	10.0	9.0	35.0	50.0	10.0	350.0	6.0	25.0	25.0	1	0	0	1	0	0	0	0	0	0	0	0	В магазин, ездят в Бахмут	Bicycle Walking		poor product selection			local (in this rayon) from other regions of Ukraine		Unstable employment (daily) Allowances (Social security\welfare)		Fully available	Fully available	Fully available	Poor quality		На рынке	На рынке	No problems		Lack of FSPs (incl. ATMs) FSPs do not offer necessary services Technical issues at FSP (eg. Electronic systems not functioning)		Community tension		Yes	Intimidation on basis of sex Sexual harassment		Landmines\ERW are not present		Yes, sufficient		Yes, sufficient	In-home social care Delivering pensions or social benefits		Yes, sufficient	Daily	piped drinking water		Yes		Public (paid) waste collection		no problems		Donetska	Bakhmutskyi	Svitlodarsk	Yes	48.4361394032231	38.21564087193752		3698758
Community	2017-05-17T12:02:34.491+03	2017-05-17T12:27:38.012+03	2017-05-17	female	Yes, functioning		No	Артемовск	No	No challenges		3	Артемовск	"No health facilities available in the area; High cost of transportation to health facility; Old age;"		disabled male disabled female elderly male elderly female female children male children	501-750	Yes, infrequently	no	Yes, infrequently	no	Fuel too expensive		Fully available	30.0	10.0	35.0	18.0	4.0	95.0	65.0	70.0	55.0	98.0	35.0	9.5	10.0	12.0	11.0	8.0	15.0	3.0	8.0	9.0	8.5	25.0	35.0	17.0	70.0	5.0	14.0	25.0	0	0	1	1	0	0	1	1	0	0	0	0	Бахмут	Private bus service Public bus service		Other (specify)	Дороги плохие		local (in this rayon) from other regions of Ukraine other (specify)	Бахмут Краматорск	Stable employment (salaried) Farming Allowances (Social security\welfare)		Fully available	Fully available	Fully available	Cost Poor quality Insufficient selection		Рынок	Рынок    Бахмут	Distance Problems transporting produce Security concerns		Distance to FSP Cost of travelling to FSP Lack of FSPs (incl. ATMs)		Community tension		No			Landmines\ERW are not present		Yes, sufficient		Yes, insufficient	In-home social care Registration servives		Yes, insufficient	Daily	piped drinking water		Yes		Public (paid) waste collection		no problems		Donetska	Bakhmutskyi	Svitlodarsk	Yes	48.43637748406104	38.22463521256955		3698772
Community	2017-05-17T10:31:41.317+03	2017-05-17T11:19:25.951+03	2017-05-17	female	No	В г.Светлодарске	No	В г.Бахмут	Yes	No challenges		0	В г.Светлодарск. г.Бахмут	"No health facilities available in the area; Security concerns around travel to health facility; High cost of transportation to health facility;"		disabled male disabled female elderly male elderly female pregnant women female children male children all equally	don’t know	Yes, daily	Yes, infrequently	Yes, daily	No centralized heating in the community	Fuel too expensive Fuel not available Delivery problems other (specify)	Опасность в доступе у дровам	Limited availability	37.5	13.5	33.0	20.5	7.0	75.0	79.0	70.0	81.0	85.0	21.0	10.5	8.0	23.0	8.0	9.0	6.5	6.5	12.0	10.5	9.5	31.5	37.0	11.0	420.0	5.0	17.0	32.0	0	0	0	0	0	0	0	0	0	0	0	0	Ездят в г.Бахмут	Private bus service Public bus service Private transport (own car, borrowed car)		Distance Security concerns in travelling high prices			local (in this rayon) from the oblast from other regions of Ukraine		Self-employment (not farming) Farming Allowances (Social security\welfare) Support from family\friends		Fully available	Fully available	Fully available	Cost Availability Poor quality		По соседям. Рынок в Светлодарске	В г.Дебальцево. г. Горловка	Problems transporting produce Security concerns Used to sell at markets which are now at NGCA		Distance to FSP Cost of travelling to FSP Other (specify)	Полное отсутствие финансовых услуг	Mines and ERW Pillage\destruction of property Lack of Psycho-Social Support		No			"Landmines\ERW are present;"		Yes, sufficient	None of the known areas	No	All available		Yes, insufficient	Daily	well		No		Waste is buried or burned Waste is disposed of at designated waste management site		Damage to infrastructure water shortages		Donetska	Bakhmutskyi	Luhanske	Yes	48.44451938995109	38.255456556347944		3698775
Community	2017-05-17T11:19:46.580+03	2017-05-17T12:25:20.273+03	2017-05-17	female	No	В г.Светлодарск	No	В г.Бахмут	Yes	other (specify)	Учит еля дают знания не в полном объеме. Потом предлагают дополнительные платные услуги	0	В г. Бахмут.г. Светлодарск.пос. Мироновку	"No health facilities available in the area; Security concerns around travel to health facility; High cost of transportation to health facility;"		disabled male disabled female elderly male elderly female pregnant women female children male children IDPs all equally	don’t know	Yes, weekly	Yes, infrequently	Yes, infrequently	No centralized heating in the community	Fuel too expensive Fuel not available Delivery problems		Limited availability	37.5	13.5	33.0	17.5	7.0	75.0	79.0	70.0	42.0	85.0	21.0	10.5	8.0	23.0	10.0	10.0	6.5	6.5	12.0	16.5	12.0	35.0	37.0	11.0	420.0	5.0	17.0	35.0	0	0	0	0	0	0	0	0	0	0	0	0	Ездят в г.Бахмут.г.Светлодарск	Private bus service Public bus service Private transport (own car, borrowed car) Mototransport Bicycle		Distance Security concerns in travelling Transport is too expensive		100.0	local (in this rayon) from the oblast from other regions of Ukraine		Self-employment (not farming) Farming Allowances (Social security\welfare) Support from family\friends Cash from humanitarian organisations		Limited availability	Fully available	Fully available	Cost Poor quality Insufficient selection		Между собой. В г.СВЕТЛОДАРСК.г. Бахмут	Г.Дебальцево. г.Горловка. г.Никитовка	Distance Problems transporting produce Used to sell at markets which are now at NGCA		Distance to FSP Cost of travelling to FSP FSPs do not offer necessary services		Mines and ERW Pillage\destruction of property Lack of Psycho-Social Support		No			"Landmines\ERW are present;"		Yes, sufficient	None of the known areas	Yes, insufficient	All available		Yes, insufficient	Daily	well		No		Waste is buried or burned Waste is disposed of at designated waste management site		other (specify)	Сами чистят выгребные ямы	Donetska	Bakhmutskyi	Luhanske	Yes	48.4447335416988	38.25594474776094		3698776
Community	2017-05-17T11:52:31.798+03	2017-05-17T12:17:40.844+03	2017-05-17	female	No	В г.Светлодарск или гаряча линия	No	В г.Бахмут	Yes	No challenges		0	В г.Светлодарск. Бахмут	"No health facilities available in the area; Security concerns around travel to health facility; High cost of transportation to health facility;"		disabled male disabled female elderly male elderly female pregnant women female children male children	don’t know	Yes, weekly	no	Yes, infrequently	No centralized heating in the community	Fuel too expensive Fuel not available Delivery problems		Limited availability	37.5	13.5	33.0	20.5	7.0	95.0	79.0	85.0	48.0	85.0	21.0	10.5	8.0	23.0	8.0	9.0	6.5	6.5	12.0	11.0	10.0	32.0	40.0	11.0	380.0	7.0	17.0	37.0	0	0	0	0	0	0	0	0	0	0	0	0	В г.Светлодарск. г.Бахмут	Public bus service Private transport (own car, borrowed car) Mototransport Walking		Distance Security concerns in travelling Transport is too expensive		80.0	local (in this rayon) from the oblast from other regions of Ukraine		Stable employment (salaried) Farming Allowances (Social security\welfare) Support from family\friends Sale of humanitarian aid Cash from humanitarian organisations		Fully available	Fully available	Fully available	Cost Availability Other (specify)	Скоротити с доставкой	В г.Бахмут. г.Славянск.г.Светлодарск	г.Дебальцево.г.Горловка	Problems transporting produce Security concerns Used to sell at markets which are now at NGCA		Distance to FSP Cost of travelling to FSP FSPs do not offer necessary services		Discrimination against IDPs Mines and ERW Pillage\destruction of property		Yes	other (specify)	Местные мужчины неблагополучной категории	"Landmines\ERW are present;"		Yes, sufficient	None of the known areas	No	All available		Yes, insufficient	Daily	well		No		Waste is buried or burned Waste is disposed of at designated waste management site		other (specify)	Чистим выгребные я мы сами	Donetska	Bakhmutskyi	Luhanske	Yes	48.44443805542868	38.25589014805487		3698777
Community	2017-05-17T11:24:02.262+03	2017-05-17T14:45:06.275+03	2017-05-17	female	Yes, functioning		Yes, functioning		Yes	Cost of attendance is too high		2	Заказывают	"Health care services are too expensive;"		all equally	don’t know	no	no	Yes, infrequently	no	Fuel too expensive Quality is too bad		Fully available	30.0	12.0	28.0	17.0	5.0	70.0	999.0	65.0	50.0	75.0	17.0	12.0	10.0	12.0	8.0	7.0	9.0	8.0	9.0	15.0	15.0	999.0	60.0	999.0	999.0	6.0	999.0	999.0	2	1	1	4	2	1	1	4	0	0	0	0	Стихийные рынки	Public bus service Bicycle Walking		high prices Transport is too expensive		10.0	local (in this rayon) from other regions of Ukraine		Unstable employment (daily) Farming Cash from humanitarian organisations		Fully available	Fully available	Fully available	Cost Poor quality		На местном рынке	Луганск, Первомайск, на трассе	Used to sell at markets which are now at NGCA		No problems		Community tension Abuse of power\authority Freedom of movement		No			other (specify)	Ранее были	Yes, sufficient		Yes, sufficient	Other (specify)	Те кто прикреплен к соцслужбам нет пробем	Yes, insufficient	infrequently	piped drinking water		No		Private (paid) waste collection		water shortages		Luhanska	Popasnianskyi	Popasna	Yes	48.63271624206722	38.378032379791016		3699562
Community	2017-05-17T13:07:29.583+03	2017-05-17T14:45:21.128+03	2017-05-17	female	Yes, functioning		Yes, functioning		Yes	"Route to services is unsafe (mines, checkpoints, shelling); other (specify)"	Обстрелы	12	Заказ	other (specify)	Нет специалистов	all equally	1000-1500	Yes, weekly	Yes, weekly	Yes, weekly	Yes, infrequently	Quality is too bad other (specify)	Долги за газ	Fully available	30.0	18.0	28.0	18.0	5.0	120.0	85.0	90.0	70.0	90.0	19.0	10.0	12.0	17.0	8.0	13.0	12.0	6.0	12.0	20.0	10.0	25.0	70.0	10.0	480.0	5.0	30.0	30.0	1	0	1	2	1	0	1	2	0	0	0	0	Рынки работают	Walking		high prices poor product quality Transport is too expensive		10.0	local (in this rayon) from other regions of Ukraine		Farming Sale of humanitarian aid		Fully available	Fully available	Fully available	Cost		Местный рынки, по домам ходят	Первомайск	Problems transporting produce Other (specify)	Взятие на блок постах, дорогие услуги рынка	Technical issues at FSP (eg. Electronic systems not functioning)		other (specify)	Обстрелы,  нет уверенности в завтрашнем дне	Yes	other (specify)	Берут на работу в основном мужчин, нет гинекологов, онкологические заболевания	"Landmines\ERW are present;"		Yes, sufficient	Yes, all known areas	Yes, sufficient	All available		No, required	Weekly	piped drinking water		No		Private (paid) waste collection		Damage to infrastructure water shortages		Luhanska	Popasnianskyi	Popasna	Yes	48.6316327795988	38.378740813181096		3699565
Community	2017-05-17T14:01:56.696+03	2017-05-17T16:31:05.025+03	2017-05-17	female	No	Попасная	No	Попасная	No	Distance to services is too big		0	Попасная	"No health facilities available in the area; No transportation\long distance to facility; Old age;"		disabled female elderly male elderly female all equally	don’t know	Yes, daily	The community does not use gas	no	No centralized heating in the community	Fuel not available Delivery problems		Fully available	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	9999.0	999.0	999.0	10.0	9.0	15.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	1	1	1	3	0	0	0	0	0	0	0	0	Попасная	Bicycle		Distance Transport is never available Other (specify)	Постоянная ротация военных		local (in this rayon)		Allowances (Social security\welfare) Cash from humanitarian organisations		Fully available	Fully available	Limited availability	Don't know		ПОпасная, Новоалександровка	ПОпасная,Первомайск	Distance Problems transporting produce Security concerns		Distance to FSP Other (specify)	Нет транспорта	Mines and ERW		No			"Landmines\ERW are present;"		No	Yes, all known areas	No	Other (specify)	Все недоступно	No, required	Daily	well		No		Waste is buried or burned		Cannot empty septic tank Damage to infrastructure		Luhanska	Popasnianskyi	Novooleksandrivka	Yes	48.61677588354475	38.39079112192128		3699743
Community	2017-05-16T11:37:39.525+03	2017-05-16T12:02:36.227+03	2017-05-16	male	Yes, functioning		Yes, functioning		Yes	No challenges		4	Бахмут	"No health facilities available in the area; High cost of transportation to health facility; Health care services are too expensive;"		disabled male disabled female elderly male elderly female	0-250	no	no	no	no	No problems		Fully available	32.0	999.0	999.0	17.0	999.0	80.0	999.0	65.0	999.0	999.0	999.0	9.0	9.3	999.0	999.0	999.0	999.0	999.0	999.0	999.0	12.0	999.0	999.0	999.0	999.0	7.0	999.0	999.0	1	0	1	2	0	0	0	0	0	0	0	0	Бахмут	Public bus service		Distance high prices			other (specify)	Не знаю	Allowances (Social security\welfare)		Fully available	Fully available	Fully available	Cost		Местный рынок	Дебальцево	Problems transporting produce Lack of storage for produce at markets Used to sell at markets which are now at NGCA		Distance to FSP Lack of FSPs (incl. ATMs) FSPs do not offer necessary services		Mines and ERW		No			"Landmines\ERW are present;"		No	None of the known areas	Yes, insufficient	All available		Yes, insufficient	Not in last three months but has happened	piped drinking water		Yes		Public (paid) waste collection		no problems		Donetska	Bakhmutskyi	Svitlodarsk	Yes	48.43830767505451	38.22323616806464		3680634
Community	2017-05-16T12:44:19.651+03	2017-05-16T12:59:11.640+03	2017-05-16	female	Yes, functioning		No	Бахмут	Don't know	No challenges		3	Бахмут	"No difficulties of access reported;"		no issues	501-750	Yes, infrequently	no	no	no	No problems		Fully available	40.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	40.0	80.0	999.0	10.0	999.0	999.0	10.0	999.0	10.0	999.0	999.0	999.0	30.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	0	0	1	1	0	0	0	0	0	0	0	0	Бахмут	Walking		No challenges			local (in this rayon)		Unstable employment (daily) Allowances (Social security\welfare) Cash from humanitarian organisations		Fully available	Fully available	Fully available	Don't know		Местный рынок	Местный рынок	No problems		Cost of travelling to FSP Lack of FSPs (incl. ATMs) FSPs do not offer necessary services		Community tension Presence of armed groups Forced military recruitment		Yes	Rape Domestic violence		Landmines\ERW are not present		Yes, insufficient		Yes, insufficient	Other (specify)	Не знаю	Yes, sufficient	infrequently	piped drinking water		Yes		Private (paid) waste collection		no problems		Donetska	Bakhmutskyi	Svitlodarsk	Yes	48.43734498084394	38.218719558348404		3680640
Community	2017-05-16T12:14:55.408+03	2017-05-16T12:32:58.021+03	2017-05-16	female	Yes, functioning		No	Бахмут	No	other (specify)	Доступны только школы	3	Заказывают водителям	"Old age; Disability\injuries\illness; Health care services are too expensive;"		elderly male elderly female	0-250	no	no	no	no	Fuel too expensive Delivery problems		Limited availability	40.0	15.0	35.0	16.0	6.0	110.0	75.0	100.0	75.0	90.0	25.0	10.0	8.0	16.0	6.0	6.0	6.0	5.0	8.0	9.0	8.0	25.0	50.0	9.0	250.0	6.0	25.0	25.0	1	0	0	1	1	0	0	1	1	0	0	1	Магазины	Walking		poor product selection high prices			local (in this rayon) from other regions of Ukraine		Unstable employment (daily) Allowances (Social security\welfare)		Don't know	Fully available	Fully available	Cost		Непродают	Нет	Other (specify)	Не выращивают	Lack of FSPs (incl. ATMs) FSPs do not offer necessary services Technical issues at FSP (eg. Electronic systems not functioning)		Community tension Mines and ERW		No			"Landmines\ERW are present;"		Yes, sufficient	Yes, all known areas	Yes, insufficient	In-home social care		Yes, sufficient	Weekly	piped drinking water		Yes		Public (paid) waste collection		no problems		Donetska	Bakhmutskyi	Svitlodarsk	Yes	48.435054261621886	38.214667943343805		3680685
Community	2017-05-16T12:48:07.449+03	2017-05-16T13:18:02.564+03	2017-05-16	female	Yes, non-functioning	В Светлодарское отделение полиции	No	В г. Бахмут	Yes	"Route to services is unsafe (mines, checkpoints, shelling); other (specify)"	Нет профильных учителей.	2	В г.Бахмут	"Security concerns around travel to health facility; High cost of transportation to health facility; Health care services are too expensive;"		disabled male disabled female elderly male elderly female all equally	0-250	Yes, infrequently	no	Yes, infrequently	no	Fuel too expensive Fuel not available Delivery problems		Limited availability	33.0	18.0	35.0	18.0	5.0	120.0	78.0	85.0	60.0	110.0	20.0	10.5	9.5	10.0	8.0	10.0	6.0	5.0	10.0	8.0	13.0	45.0	28.0	8.0	300.0	6.0	18.0	43.0	0	0	1	1	0	0	1	1	0	0	0	0	В г. БАХМУТ	Private bus service Public bus service Private transport (own car, borrowed car)		Distance Security concerns in travelling Transport is too expensive		80.0	from the oblast from other regions of Ukraine		Unstable employment (daily) Self-employment (not farming) Allowances (Social security\welfare) Support from family\friends Cash from humanitarian organisations		Fully available	Fully available	Fully available	Cost Availability Insufficient selection		На местном рынке	На местном рынке. Светлодарск. Бахмут	No problems		Distance to FSP Cost of travelling to FSP Lack of FSPs (incl. ATMs)		Community tension Mines and ERW Lack of Psycho-Social Support		Yes	Rape Intimidation on basis of sex		Not sure\don't know		No		Yes, insufficient	In-home social care Registration servives		No, required	Daily	well		No		Public (paid) waste collection Waste is disposed of at designated waste management site		no problems		Donetska	Bakhmutskyi	Myronivskyi	Yes	48.462213211032065	38.27406836940774		3681288
Community	2017-05-16T11:40:32.857+03	2017-05-16T15:27:07.436+03	2017-05-16	female	Yes, functioning		No	Бахмут	Yes	other (specify)	Нет учителей.дети плохо усваивают информацию из за войны. Страх	2	Бахмут	other (specify)	Недостаток врачей	elderly male elderly female	0-250	Yes, infrequently	no	no	Yes, infrequently	Quality is too bad		Fully available	29.0	999.0	32.5	20.0	3.5	80.0	69.0	999.0	60.0	107.0	30.0	10.0	8.0	20.0	10.0	19.0	20.0	10.0	10.0	16.0	9.5	30.0	30.0	13.0	999.0	10.0	16.0	20.0	0	0	1	1	0	0	0	0	0	0	0	0	Местные магазины	Private bus service Private transport (own car, borrowed car) Mototransport Bicycle		Distance Security concerns in travelling high prices			local (in this rayon) from the oblast from other regions of Ukraine		Stable employment (salaried) Self-employment (not farming) Farming Allowances (Social security\welfare) Cash from humanitarian organisations		Fully available	Fully available	Fully available	Cost Availability		Только свой населенный пункт.не рентабельно вести В Бахмут	Дебальцево	Distance Problems transporting produce Used to sell at markets which are now at NGCA		Queues Lack of FSPs (incl. ATMs) Technical issues at FSP (eg. Electronic systems not functioning)		Abuse of power\authority Mines and ERW Pillage\destruction of property		No			"Landmines\ERW are present;"		Yes, sufficient	Yes, all known areas	Yes, sufficient	All available		Yes, sufficient	Daily	piped drinking water		Yes		Public (paid) waste collection		water shortages		Donetska	Bakhmutskyi	Myronivskyi	Yes	48.46195332624361	38.27587940465093		3681302
Community	2017-05-16T12:43:54.833+03	2017-05-16T16:15:40.752+03	2017-05-16	female	Yes, functioning		No	Бахмут	Yes	No challenges		2	Бахмут	"High cost of transportation to health facility; No transportation\long distance to facility;"		disabled male disabled female elderly male elderly female female children male children	0-250	Yes, infrequently	no	Yes, infrequently	Yes, infrequently	No problems		Fully available	29.0	999.0	35.0	20.0	999.0	999.0	65.0	70.0	999.0	999.0	999.0	999.0	10.0	20.0	10.0	18.0	10.0	10.0	10.0	18.0	10.0	999.0	999.0	18.0	999.0	10.0	35.0	999.0	0	0	1	1	0	0	0	0	0	0	0	0	Бахмут	Private bus service Public bus service Private transport (own car, borrowed car) Mototransport Bicycle		Distance Security concerns in travelling high prices			local (in this rayon) from the oblast		Stable employment (salaried) Farming Allowances (Social security\welfare)		Fully available	Fully available	Fully available	Cost Poor quality		Местный рынок	Местный рынок	Distance Problems transporting produce Security concerns		Limited opening hours Lack of FSPs (incl. ATMs) Technical issues at FSP (eg. Electronic systems not functioning)		Mines and ERW Pillage\destruction of property		Yes	other (specify)	Насилие в семье	"Landmines\ERW are present;"		Yes, sufficient	Some of the known areas	Yes, sufficient	All available		Yes, sufficient	Daily	piped drinking water		Yes		Public (paid) waste collection		water shortages		Donetska	Bakhmutskyi	Myronivskyi	Yes	48.462138381476485	38.27556870264904		3681303
Community	2017-05-16T12:18:33.979+03	2017-05-16T13:29:23.563+03	2017-05-16	female	Yes, functioning		No	Бахмут	Yes	other (specify)	Плохой уровень образовантя	2	Есть	"No health facilities available in the area; Security concerns around travel to health facility; Health care services are too expensive;"		all equally	don’t know	Yes, infrequently	no	Yes, daily	no	No problems		Limited availability	23.0	18.0	30.0	18.0	10.0	70.0	54.0	60.0	50.0	65.0	999.0	10.0	8.0	8.0	10.0	18.0	13.0	8.0	10.0	20.0	9.0	25.0	100.0	999.0	999.0	12.0	999.0	25.0	0	0	1	1	0	0	0	0	0	0	0	0	Бахмут	Private bus service		No challenges			local (in this rayon) from other regions of Ukraine		Unstable employment (daily) Allowances (Social security\welfare)		Fully available	Fully available	Fully available	Cost		На местном рынке	Горловка	Problems transporting produce Used to sell at markets which are now at NGCA		Lack of FSPs (incl. ATMs) FSPs do not offer necessary services		Mines and ERW		No			Not sure\don't know		Yes, insufficient		Yes, sufficient	Registration servives		No, required	Daily	piped drinking water		Yes		Public (paid) waste collection		water shortages		Donetska	Bakhmutskyi	Myronivskyi	Yes	48.461859095629	38.27535468908367		3681374
Community	2017-05-16T12:56:15.054+03	2017-05-16T13:24:30.226+03	2017-05-16	female	Yes, functioning		No	Бахмут	No	No challenges		2	Бахмут	"No health facilities available in the area; No transportation\long distance to facility;"		female children male children all equally	don’t know	Yes, infrequently	no	Yes, daily	no	No problems		Limited availability	35.0	999.0	35.0	20.0	8.0	999.0	80.0	60.0	60.0	70.0	999.0	10.0	8.0	8.0	999.0	999.0	999.0	999.0	999.0	999.0	10.0	26.0	50.0	9.0	380.0	10.0	15.0	30.0	0	0	1	1	0	0	0	0	0	0	0	0	Бахмут	Private bus service Private transport (own car, borrowed car)		Distance high prices Transport is too expensive		100.0	local (in this rayon) from other regions of Ukraine		Stable employment (salaried) Allowances (Social security\welfare)		Fully available	Fully available	Fully available	Cost		Бахмут и местный рынок	Дебальцево Горловка	Distance Problems transporting produce Security concerns		Lack of FSPs (incl. ATMs)		Community tension Mines and ERW Presence of armed groups		Yes	other (specify)	Экономические	Not sure\don't know		No		Yes, insufficient	All available		Yes, sufficient	Weekly	piped drinking water		No		Public (paid) waste collection		water shortages		Donetska	Bakhmutskyi	Myronivskyi	Yes	48.4616317076644	38.27546768069144		3681376
Community	2017-05-19T10:18:17.835+03	2017-05-19T10:41:07.873+03	2017-05-19	female	No	Бахмут	No	Бахмут	Yes	"Distance to services is too big Route to services is unsafe (mines, checkpoints, shelling);"		0	Бахмут	other (specify)	ФЕЛЬДШЕРСКИЙ пункт с недостаточным предоставлением медпомощи	all equally	0-250	Yes, daily	Yes, daily	Yes, infrequently	Yes, daily	Fuel too expensive Delivery problems		Limited availability	40.0	999.0	35.0	18.0	999.0	100.0	100.0	999.0	60.0	999.0	999.0	10.0	8.0	12.0	9.0	999.0	999.0	999.0	7.0	18.0	17.0	35.0	60.0	999.0	999.0	7.0	25.0	15.0	0	0	0	0	0	0	0	0	0	0	0	0	Местный магазин рынок  В Бахмуте	Public bus service		need to cross checkpoints			local (in this rayon) from other regions of Ukraine		Allowances (Social security\welfare) Cash from humanitarian organisations		Limited availability	Fully available	Fully available	Cost		Не продают	Не продавали	Other (specify)	Выращивают для себя	Distance to FSP Cost of travelling to FSP Other (specify)	Блокпост	Lack of Psycho-Social Support Shelling		No			"Landmines\ERW are present;"		Yes, insufficient	Yes, all known areas	No	In-home social care Delivering pensions or social benefits		No, required	Daily	piped drinking water		Yes		Waste is left in the street\public area		Cannot empty septic tank Connection to sewage blocked		Donetska	Bakhmutskyi	Settlement is not on the list	Yes	48.39540360597015	37.9776274515412		3748048
Community	2017-05-19T11:13:46.484+03	2017-05-19T11:29:27.240+03	2017-05-19	female	No	Бахмут	No	Бахмут	Yes	"Distance to services is too big Route to services is unsafe (mines, checkpoints, shelling);"		0	Бахмут	"No health facilities available in the area; Security concerns around travel to health facility; other (specify)"	ФЕЛЬДШЕРСКИЙ  пункт	all equally	don’t know	Yes, infrequently	Yes, daily	Yes, weekly	Yes, daily	Fuel too expensive Delivery problems		Not available	999.0	999.0	30.0	18.0	6.0	999.0	85.0	999.0	50.0	999.0	999.0	10.0	9.0	24.0	9.0	7.0	10.0	999.0	7.0	18.0	13.0	30.0	60.0	10.0	999.0	6.0	20.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Магазин ездят в Бахмут	Public bus service		Distance Transport is too expensive		50.0	from other regions of Ukraine		Allowances (Social security\welfare)		Limited availability	Fully available	Fully available	Cost		Не продают	Не продавали	Other (specify)	Не продавали	Distance to FSP Cost of travelling to FSP Queues		Shelling		No			other (specify)	В посадках рядом	Yes, sufficient		No	In-home social care Delivering pensions or social benefits		Yes, insufficient	Daily	piped drinking water		Yes		Waste is left in the street\public area		Cannot empty septic tank Connection to sewage blocked		Donetska	Bakhmutskyi	Settlement is not on the list	Yes	48.39712479910112	37.97391633634721		3748050
